Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/SMS/SMS Manuals/20 em 1.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2F20%20em%201.pdf,34172,b0303ee214cd88b68b9b1c055b3b955b,,,20 em 1.pdf
docs/SMS/SMS Manuals/4 Pak All Action.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2F4%20Pak%20All%20Action.pdf,243424,22a177216ee007619ea937504a7f281d,,,4 Pak All Action.pdf
docs/SMS/SMS Manuals/Ace of Aces.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAce%20of%20Aces.pdf,1546399,e281a259317428423442bb91246db733,,,Ace of Aces.pdf
docs/SMS/SMS Manuals/Action Fighter.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAction%20Fighter.pdf,1173242,fe32beb976db2b5796754f803a62036d,,,Action Fighter.pdf
docs/SMS/SMS Manuals/Aerial Assault.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAerial%20Assault.pdf,4387207,882c75fcc8ffc94648e4831d96782d39,,,Aerial Assault.pdf
docs/SMS/SMS Manuals/After Burner.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAfter%20Burner.pdf,982638,05652ab963e090a85da63b651342e040,,,After Burner.pdf
docs/SMS/SMS Manuals/Aladdin.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAladdin.pdf,2581435,f17a7f9c8d2467d5855fd889e38e149d,,,Aladdin.pdf
docs/SMS/SMS Manuals/Alex Kidd - High-Tech World.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAlex%20Kidd%20-%20High-Tech%20World.pdf,4437981,4d722aad8c627861c78c2052a089d5b5,,,Alex Kidd - High-Tech World.pdf
docs/SMS/SMS Manuals/Alex Kidd - The Lost Stars.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAlex%20Kidd%20-%20The%20Lost%20Stars.pdf,4297444,bd1cda1f69d14e80dbd2ac55b36a7b98,,,Alex Kidd - The Lost Stars.pdf
docs/SMS/SMS Manuals/Alex Kidd in Miracle World.pdf,https://archive.org/download/mister-manuals/1986_Sega%20Master%20System.zip/1986_Sega%20Master%20System%2FAlex%20Kidd%20in%20Miracle%20World.pdf,1691406,c2c63015862a037a681731d61483619e,,,Alex Kidd in Miracle World.pdf
